	Sentence	Relation_gold	Head_gold
0	La construcción de la sociedad que el país quiere, implica que la Asamblea Nacional debe discutir el andamiaje intervencionista disfrazado de legalidad formal, promocionando con incentivos la inversión productiva, cumpliendo los mandatos constitucionales referidos a los derechos económicos. 	['det', 'nsubj', 'adpmod', 'det', 'adpobj', 'rel', 'det', 'nsubj', 'rcmod', 'punct', 'ROOT', 'mark', 'det', 'nsubj', 'amod', 'aux', 'ccomp', 'det', 'obj', 'amod', 'partmod', 'adpmod', 'adpobj', 'amod', 'punct', 'partmod', 'adpmod', 'adpobj', 'det', 'obj', 'amod', 'punct', 'conj', 'det', 'obj', 'amod', 'partmod', 'adpmod', 'det', 'adpobj', 'amod', 'punct']	['construcción', 'implica', 'construcción', 'sociedad', 'de', 'quiere', 'país', 'quiere', 'sociedad', 'implica', '.', 'discutir', 'Asamblea', 'discutir', 'Asamblea', 'discutir', 'implica', 'andamiaje', 'discutir', 'andamiaje', 'andamiaje', 'disfrazado', 'de', 'legalidad', 'promocionando', 'discutir', 'promocionando', 'con', 'inversión', 'promocionando', 'inversión', 'promocionando', 'promocionando', 'mandatos', 'cumpliendo', 'mandatos', 'mandatos', 'referidos', 'derechos', 'a', 'derechos', 'implica']
1	Sin ir mas lejos, en Santa Cruz, prendieron fuego el auto de una periodista. 	['adpmod', 'acl', 'advmod', 'advmod', 'punct', 'adpmod', 'amod', 'adpobj', 'punct', 'ROOT', 'mwe', 'det', 'obj', 'adpmod', 'det', 'adpobj', 'punct']	['prendieron', 'Sin', 'lejos', 'ir', 'en', 'prendieron', 'Cruz', 'en', 'en', '.', 'prendieron', 'auto', 'prendieron', 'auto', 'periodista', 'de', 'prendieron']
2	Battlefield 3 usará el motor Frostbite 2 aportando mejoras en los gráficos y la destructibilidad además de aportar un nuevo sistema de animación tomado de EA Sports, radiosidad en tiempo real y deferred rendering. 	['nsubj', 'num', 'ROOT', 'det', 'obj', 'appos', 'num', 'partmod', 'obj', 'adpmod', 'det', 'adpobj', 'cc', 'det', 'conj', 'adpmod', 'mwe', 'acl', 'det', 'amod', 'obj', 'adpmod', 'adpobj', 'partmod', 'adpmod', 'compmod', 'adpobj', 'punct', 'conj', 'adpmod', 'adpobj', 'amod', 'cc', 'amod', 'conj', 'punct']	['usará', 'Battlefield', '.', 'motor', 'usará', 'motor', 'Frostbite', 'usará', 'aportando', 'mejoras', 'gráficos', 'en', 'gráficos', 'destructibilidad', 'gráficos', 'aportando', 'además', 'además', 'sistema', 'sistema', 'aportar', 'sistema', 'de', 'sistema', 'tomado', 'Sports', 'de', 'sistema', 'sistema', 'radiosidad', 'en', 'tiempo', 'sistema', 'rendering', 'sistema', 'usará']
3	Hay una crisis persistente en las economías avanzadas- situación que contradice lo ocurrido en los últimos cuarenta años. 	['ROOT', 'det', 'obj', 'amod', 'adpmod', 'det', 'adpobj', 'amod', 'punct', 'parataxis', 'nsubj', 'rcmod', 'det', 'obj', 'adpmod', 'det', 'amod', 'num', 'adpobj', 'punct']	['.', 'crisis', 'Hay', 'crisis', 'Hay', 'economías', 'en', 'economías', 'situación', 'Hay', 'contradice', 'situación', 'ocurrido', 'contradice', 'ocurrido', 'años', 'años', 'años', 'en', 'Hay']
4	"Oferta típica de empleo en Españistán del 2012:"" Se necesita camarero. "	['ROOT', 'amod', 'adpmod', 'adpobj', 'adpmod', 'adpobj', 'adpmod', 'adpobj', 'punct', 'punct', 'prt', 'parataxis', 'nsubj', 'punct']	['.', 'Oferta', 'Oferta', 'de', 'empleo', 'en', 'Españistán', 'del', 'Oferta', 'necesita', 'necesita', 'Oferta', 'necesita', 'Oferta']
5	Hace muy poquito sabíamos lo que nuestros vecinos de Portugal hacían con Street View: no permitir a Google que siguiera tomando instantáneas de sus calles por invasión de la privacidad. 	['advcl', 'advmod', 'advmod', 'ROOT', 'obj', 'rel', 'det', 'nsubj', 'adpmod', 'adpobj', 'rcmod', 'adpmod', 'compmod', 'adpobj', 'punct', 'advmod', 'parataxis', 'adp', 'obj', 'mark', 'aux', 'ccomp', 'obj', 'adpmod', 'det', 'adpobj', 'adpmod', 'adpobj', 'adpmod', 'det', 'adpobj', 'punct']	['sabíamos', 'poquito', 'Hace', '.', 'sabíamos', 'hacían', 'vecinos', 'hacían', 'vecinos', 'de', 'lo', 'hacían', 'View', 'con', 'sabíamos', 'permitir', 'sabíamos', 'Google', 'permitir', 'tomando', 'tomando', 'permitir', 'tomando', 'instantáneas', 'calles', 'de', 'permitir', 'por', 'invasión', 'privacidad', 'de', 'sabíamos']
6	Para disfrutar de Fast &amp; Go, estos dos colectivos tendrán que contratar el servicio en su reserva y presentar el libro de familia u otro documento acreditativo con el fin de cancelar el coste del servicio en el momento de la recogida del vehículo. 	['mark', 'advcl', 'adpmod', 'adpobj', 'cc', 'conj', 'punct', 'det', 'num', 'nsubj', 'aux', 'mwe', 'ROOT', 'det', 'obj', 'adpmod', 'det', 'adpobj', 'cc', 'conj', 'det', 'obj', 'adpmod', 'adpobj', 'cc', 'det', 'conj', 'amod', 'mwe', 'mwe', 'mark', 'mwe', 'advcl', 'det', 'obj', 'adpmod', 'adpobj', 'adpmod', 'det', 'adpobj', 'adpmod', 'det', 'adpobj', 'adpmod', 'adpobj', 'punct']	['disfrutar', 'contratar', 'disfrutar', 'de', 'Fast', 'Fast', 'disfrutar', 'colectivos', 'colectivos', 'contratar', 'contratar', 'tendrán', '.', 'servicio', 'contratar', 'contratar', 'reserva', 'en', 'contratar', 'contratar', 'libro', 'presentar', 'libro', 'de', 'libro', 'documento', 'libro', 'documento', 'fin', 'fin', 'cancelar', 'fin', 'presentar', 'coste', 'cancelar', 'coste', 'del', 'cancelar', 'momento', 'en', 'momento', 'recogida', 'de', 'recogida', 'del', 'contratar']
7	Empezamos a hablar más de compartir música que de piratearla, y comenzamos a decir que descargamos música gratuita en vez de manera ilegal. 	['aux', 'mwe', 'ROOT', 'advmod', 'adpmod', 'acl', 'obj', 'adpmod', 'acl', 'acl', 'punct', 'cc', 'aux', 'mwe', 'conj', 'mark', 'ccomp', 'obj', 'amod', 'adpmod', 'adpobj', 'adpmod', 'adpobj', 'amod', 'punct']	['hablar', 'Empezamos', '.', 'hablar', 'hablar', 'de', 'compartir', 'más', 'que', 'de', 'hablar', 'hablar', 'decir', 'comenzamos', 'hablar', 'descargamos', 'decir', 'descargamos', 'música', 'descargamos', 'en', 'vez', 'de', 'manera', 'hablar']
8	En FansFC se hacen eco de ello gracias a News of The World, periódico de gran tirada británico. 	['adpmod', 'adpobj', 'prt', 'ROOT', 'attr', 'adpmod', 'adpobj', 'adpmod', 'mwe', 'adpobj', 'adpmod', 'det', 'adpobj', 'punct', 'appos', 'adpmod', 'amod', 'adpobj', 'amod', 'punct']	['hacen', 'En', 'hacen', '.', 'hacen', 'eco', 'de', 'hacen', 'gracias', 'gracias', 'News', 'World', 'of', 'periódico', 'News', 'periódico', 'tirada', 'de', 'periódico', 'hacen']
9	"Pedro Alvade, representante del futbolista dijo lo siguiente a la prensa italiana:"" No hay nada cerrado. "	['compmod', 'nsubj', 'punct', 'appos', 'adpmod', 'adpobj', 'ROOT', 'det', 'obj', 'adp', 'det', 'obj', 'amod', 'punct', 'punct', 'advmod', 'parataxis', 'obj', 'amod', 'punct']	['Alvade', 'dijo', 'representante', 'Alvade', 'representante', 'del', '.', 'siguiente', 'dijo', 'prensa', 'prensa', 'dijo', 'prensa', 'dijo', 'hay', 'hay', 'dijo', 'hay', 'nada', 'dijo']
