word	frequency	rank
O	591	1
love	259	2
day	253	3
shall	251	4
life	248	5
soul	239	6
old	234	7
man	230	8
earth	226	9
long	223	10
thee	214	11
night	212	12
men	196	13
thy	183	14
sea	175	15
know	172	16
death	156	17
great	156	18
time	145	19
come	138	20
hear	133	21
face	131	22
hand	128	23
world	126	24
good	123	25
like	123	26
thou	122	27
body	120	28
young	114	29
far	110	30
rest	109	31
eyes	104	32
air	104	33
sun	104	34
land	101	35
women	101	36
dead	99	37
think	98	38
sing	95	39
war	95	40
woman	94	41
years	91	42
little	90	43
light	88	44
words	88	45
look	87	46
Thou	87	47
song	86	48
voice	86	49
pass	85	50
lands	85	51
white	85	52
new	85	53
States	85	54
past	80	55
forth	80	56
city	78	57
America	78	58
strong	78	59
saw	76	60
songs	76	61
sweet	75	62
away	75	63
stars	74	64
God	74	65
mother	74	66
high	74	67
head	73	68
close	73	69
perfect	73	70
thought	73	71
poems	72	72
things	71	73
work	71	74
heart	71	75
place	71	76
house	70	77
beautiful	70	78
ship	70	79
stand	69	80
blood	66	81
joy	66	82
fields	66	83
divine	65	84
children	65	85
cities	64	86
word	64	87
waves	64	88
days	64	89
hands	63	90
sky	63	91
Nature	60	92
ships	59	93
best	59	94
woods	58	95
silent	58	96
water	56	97
trees	56	98
present	55	99
peace	55	100
red	55	101
thing	55	102
leaves	54	103
free	54	104
shore	54	105
child	53	106
vast	53	107
round	52	108
real	52	109
grass	52	110
till	51	111
tell	51	112
dear	51	113
way	51	114
near	51	115
ground	51	116
comes	51	117
sleep	51	118
waters	50	119
sound	50	120
open	49	121
dark	49	122
let	49	123
large	48	124
chant	48	125
heard	48	126
living	47	127
streets	47	128
walk	47	129
race	47	130
singing	47	131
faces	47	132
future	47	133
Thee	46	134
arms	46	135
wild	46	136
true	46	137
return	46	138
rise	45	139
feet	45	140
breast	44	141
half	44	142
Old	44	143
friend	43	144
black	43	145
forever	43	146
moon	43	147
Thy	43	148
clear	43	149
home	43	150
age	42	151
bird	42	152
lips	41	153
battle	41	154
thousand	41	155
space	41	156
son	40	157
shores	40	158
beauty	40	159
moment	40	160
joys	40	161
spirit	39	162
soldiers	39	163
hour	39	164
leave	39	165
gone	39	166
hold	39	167
clouds	38	168
sail	38	169
low	38	170
river	38	171
houses	38	172
green	38	173
amid	38	174
calm	37	175
immortal	37	176
wind	37	177
sight	37	178
power	37	179
shape	37	180
fire	37	181
curious	36	182
arm	36	183
father	36	184
fall	36	185
left	36	186
mighty	36	187
rising	36	188
winds	36	189
passing	36	190
mountains	36	191
heroes	36	192
touch	36	193
soon	35	194
bring	35	195
born	35	196
persons	35	197
Let	35	198
lost	35	199
music	35	200
turn	35	201
globe	34	202
loved	34	203
march	34	204
ocean	34	205
summer	34	206
BOOK	34	207
neck	34	208
hair	33	209
Death	33	210
heaven	33	211
faith	33	212
Come	33	213
feel	33	214
sit	32	215
room	32	216
behold	32	217
unknown	32	218
people	32	219
breath	32	220
blue	32	221
rivers	32	222
person	32	223
lovers	32	224
crowd	31	225
universe	31	226
yellow	31	227
deep	31	228
goes	31	229
ages	31	230
believe	31	231
boy	31	232
welcome	31	233
South	31	234
wait	31	235
youth	30	236
north	30	237
times	30	238
gray	30	239
morning	30	240
North	30	241
strange	30	242
year	30	243
ye	30	244
spread	30	245
form	30	246
west	30	247
right	30	248
countless	30	249
animals	29	250
known	29	251
human	29	252
darkness	29	253
modern	29	254
stands	29	255
wife	29	256
small	29	257
law	29	258
henceforth	29	259
broad	29	260
Long	29	261
distant	29	262
voices	29	263
flowing	28	264
Pioneers	28	265
seas	28	266
comrades	28	267
unseen	28	268
speak	28	269
live	28	270
spring	28	271
Western	28	272
came	28	273
find	28	274
West	28	275
Manhattan	28	276
certain	28	277
thoughts	28	278
brown	28	279
smoke	28	280
fresh	28	281
endless	28	282
dream	28	283
road	28	284
wars	28	285
content	28	286
better	28	287
limbs	28	288
tree	27	289
waiting	27	290
lover	27	291
Lo	27	292
Time	27	293
forward	27	294
meet	27	295
understand	27	296
book	27	297
fill	27	298
sounds	27	299
country	27	300
nations	27	301
south	27	302
need	27	303
forms	27	304
sake	27	305
going	26	306
waits	26	307
said	26	308
sick	26	309
foot	26	310
holding	26	311
swift	26	312
pioneers	26	313
farms	26	314
laws	26	315
play	26	316
loving	26	317
World	26	318
grave	26	319
tears	26	320
shows	26	321
flesh	26	322
sure	26	323
solid	26	324
dying	25	325
coming	25	326
friends	25	327
Mother	25	328
appear	25	329
iron	25	330
winter	25	331
brother	25	332
proud	25	333
ranks	25	334
advance	25	335
politics	25	336
sails	25	337
moving	25	338
works	25	339
looking	25	340
falling	25	341
greater	24	342
sisters	24	343
beat	24	344
soil	24	345
stood	24	346
rocks	24	347
mind	24	348
beach	24	349
star	24	350
huge	24	351
holds	24	352
walks	24	353
swear	24	354
Ah	24	355
lo	24	356
Behold	24	357
bed	24	358
storm	24	359
dreams	24	360
rich	24	361
poet	24	362
surely	24	363
hills	24	364
early	24	365
birth	24	366
field	24	367
evil	24	368
ones	24	369
procession	24	370
use	23	371
solemn	23	372
comrade	23	373
bodies	23	374
fierce	23	375
bay	23	376
grown	23	377
gold	23	378
prairies	23	379
wood	23	380
chants	23	381
returning	23	382
identity	23	383
dim	23	384
brain	23	385
happy	23	386
Till	23	387
door	23	388
New	23	389
wide	23	390
lie	22	391
duly	22	392
poor	22	393
shapes	22	394
grand	22	395
teeming	22	396
follow	22	397
thine	22	398
delicate	22	399
freedom	22	400
ready	22	401
seen	22	402
silently	22	403
single	22	404
steady	22	405
common	22	406
making	21	407
art	21	408
horses	21	409
boat	21	410
lead	21	411
forget	21	412
armies	21	413
materials	21	414
spiritual	21	415
eternal	21	416
parts	21	417
self	21	418
longer	21	419
compact	21	420
soldier	21	421
bright	21	422
pride	21	423
lies	21	424
poets	21	425
equal	21	426
lines	21	427
onward	21	428
running	21	429
lives	21	430
cold	21	431
birds	21	432
doubt	21	433
blow	21	434
graves	21	435
sad	21	436
stop	21	437
remain	21	438
shaped	21	439
tongue	20	440
Song	20	441
flag	20	442
President	20	443
advancing	20	444
lay	20	445
soft	20	446
east	20	447
drums	20	448
slow	20	449
snow	20	450
month	20	451
eye	20	452
doors	20	453
souls	20	454
friendly	20	455
ears	20	456
knows	20	457
bear	20	458
growth	20	459
ancient	20	460
ample	20	461
myriads	20	462
Earth	20	463
deeds	20	464
deck	20	465
Life	20	466
brought	20	467
singer	19	468
mean	19	469
drops	19	470
health	19	471
mouth	19	472
late	19	473
appears	19	474
husband	19	475
aside	19	476
female	19	477
separate	19	478
forests	19	479
superb	19	480
public	19	481
Paumanok	19	482
mothers	19	483
answer	19	484
matter	19	485
shadows	19	486
sons	19	487
sand	19	488
Mississippi	19	489
rain	19	490
swiftly	19	491
float	19	492
cool	19	493
shining	19	494
lesson	19	495
Asia	19	496
hot	19	497
press	19	498
throat	19	499
growing	19	500
heads	18	501
varied	18	502
liquid	18	503
brave	18	504
tall	18	505
manly	18	506
found	18	507
step	18	508
sailing	18	509
singers	18	510
mark	18	511
centuries	18	512
measureless	18	513
savage	18	514
wealth	18	515
kings	18	516
coast	18	517
cross	18	518
naked	18	519
merely	18	520
pale	18	521
limitless	18	522
Libertad	18	523
ice	18	524
held	18	525
seek	18	526
inland	18	527
faced	18	528
visible	18	529
end	18	530
clean	18	531
beneath	18	532
depart	18	533
walking	18	534
object	18	535
wonderful	18	536
rude	18	537
midnight	18	538
tide	18	539
heat	18	540
places	18	541
alive	18	542
meaning	18	543
knew	18	544
thyself	17	545
mystic	17	546
fair	17	547
sands	17	548
course	17	549
baffled	17	550
banner	17	551
pulse	17	552
line	17	553
latent	17	554
wet	17	555
camp	17	556
money	17	557
run	17	558
greatest	17	559
burial	17	560
poem	17	561
spreading	17	562
flowers	17	563
thick	17	564
idea	17	565
City	17	566
die	17	567
Democracy	17	568
different	17	569
Europe	17	570
drawn	17	571
returns	17	572
having	17	573
races	17	574
silence	17	575
results	17	576
wounded	17	577
millions	17	578
suns	17	579
announce	17	580
Good	17	581
natural	17	582
odor	17	583
islands	17	584
California	17	585
Land	17	586
tender	17	587
loud	17	588
cry	17	589
master	17	590
lakes	16	591
bound	16	592
Mannahatta	16	593
lived	16	594
gave	16	595
cut	16	596
help	16	597
electric	16	598
Love	16	599
army	16	600
pensive	16	601
flow	16	602
corn	16	603
flame	16	604
bare	16	605
farther	16	606
corpse	16	607
slowly	16	608
account	16	609
bloody	16	610
floating	16	611
sacred	16	612
leaving	16	613
cease	16	614
bards	16	615
garden	16	616
complete	16	617
sleeps	16	618
mocking	16	619
broken	16	620
mountain	16	621
square	16	622
priests	16	623
fully	16	624
sharp	16	625
colors	16	626
guns	16	627
eidolons	16	628
objects	16	629
fast	16	630
roll	16	631
talk	16	632
looks	16	633
delicious	16	634
flames	15	635
fit	15	636
strike	15	637
set	15	638
girl	15	639
hearts	15	640
marching	15	641
prison	15	642
passionate	15	643
wharves	15	644
masses	15	645
pleasure	15	646
impassive	15	647
motion	15	648
fish	15	649
following	15	650
listen	15	651
laughter	15	652
strength	15	653
lightly	15	654
minute	15	655
vain	15	656
arrived	15	657
male	15	658
glory	15	659
forenoon	15	660
Sea	15	661
building	15	662
cannon	15	663
parents	15	664
notes	15	665
ceaseless	15	666
grow	15	667
working	15	668
wheat	15	669
cotton	15	670
told	15	671
prepared	15	672
sights	15	673
turning	15	674
echoes	15	675
Space	15	676
middle	15	677
edge	15	678
ecstatic	15	679
mate	15	680
precious	15	681
seeking	15	682
bending	15	683
steps	15	684
bad	15	685
autumn	15	686
steam	15	687
coffin	15	688
golden	15	689
distance	15	690
wondrous	15	691
travel	15	692
ahead	15	693
firm	15	694
port	15	695
books	14	696
kisses	14	697
gives	14	698
farm	14	699
temples	14	700
turns	14	701
wonder	14	702
rapt	14	703
moves	14	704
axe	14	705
borne	14	706
camps	14	707
science	14	708
wish	14	709
universal	14	710
memories	14	711
taking	14	712
windows	14	713
laughing	14	714
scenes	14	715
breathe	14	716
brood	14	717
buried	14	718
labor	14	719
sense	14	720
perceive	14	721
provided	14	722
falls	14	723
fallen	14	724
farmer	14	725
nights	14	726
babe	14	727
workmen	14	728
sudden	14	729
hither	14	730
haply	14	731
watch	14	732
scene	14	733
Year	14	734
Amid	14	735
midst	14	736
boys	14	737
sailors	14	738
flapping	14	739
crowds	14	740
slave	14	741
pennant	14	742
voyage	14	743
Washington	14	744
kiss	14	745
corpses	14	746
hours	14	747
sounding	14	748
read	14	749
hill	14	750
passions	14	751
hard	14	752
roads	14	753
urge	14	754
heavy	14	755
average	14	756
transparent	14	757
fingers	14	758
musical	14	759
roots	14	760
carefully	14	761
equally	14	762
perfume	14	763
clothes	14	764
East	13	765
Night	13	766
passes	13	767
shoulders	13	768
sailor	13	769
surface	13	770
laugh	13	771
Welcome	13	772
atmosphere	13	773
dress	13	774
went	13	775
plains	13	776
street	13	777
knife	13	778
peaceful	13	779
quick	13	780
grain	13	781
main	13	782
giving	13	783
arts	13	784
miles	13	785
final	13	786
centre	13	787
victory	13	788
flashing	13	789
approach	13	790
lean	13	791
Ohio	13	792
mere	13	793
continents	13	794
pine	13	795
brothers	13	796
entire	13	797
Singing	13	798
stately	13	799
suppose	13	800
cries	13	801
religion	13	802
watching	13	803
loves	13	804
remember	13	805
tides	13	806
start	13	807
seed	13	808
finally	13	809
France	13	810
Virginia	13	811
salute	13	812
factories	13	813
serve	13	814
subtle	13	815
chorus	13	816
friendship	13	817
daughter	13	818
daughters	13	819
continent	13	820
streams	13	821
standing	13	822
Far	13	823
groups	13	824
loose	13	825
journey	13	826
Man	13	827
Served	13	828
draw	13	829
given	13	830
Passage	13	831
secret	13	832
continually	13	833
liberty	13	834
joyous	13	835
Union	13	836
purpose	13	837
fruits	13	838
dense	13	839
nation	13	840
sleeping	13	841
ascending	13	842
reach	13	843
simple	13	844
humanity	13	845
weapons	13	846
gather	13	847
Sing	13	848
lightning	13	849
warlike	13	850
escape	13	851
shame	12	852
cause	12	853
dropt	12	854
roof	12	855
sat	12	856
sides	12	857
tongues	12	858
impalpable	12	859
reasons	12	860
receive	12	861
swimming	12	862
island	12	863
praise	12	864
served	12	865
powerful	12	866
drop	12	867
fought	12	868
elder	12	869
reference	12	870
growths	12	871
knowledge	12	872
lying	12	873
force	12	874
charge	12	875
American	12	876
sent	12	877
cloud	12	878
boats	12	879
send	12	880
school	12	881
sings	12	882
immortality	12	883
walls	12	884
tents	12	885
enter	12	886
orchards	12	887
blossoms	12	888
interminable	12	889
battles	12	890
pause	12	891
slender	12	892
proof	12	893
hope	12	894
shouts	12	895
nigh	12	896
prove	12	897
fruit	12	898
Captain	12	899
yearning	12	900
daybreak	12	901
fluid	12	902
miracle	12	903
terrible	12	904
India	12	905
scent	12	906
companions	12	907
emerging	12	908
turbulent	12	909
felt	12	910
rock	12	911
Day	12	912
Like	12	913
blooming	12	914
Shall	12	915
flash	12	916
northern	12	917
flags	12	918
lilac	12	919
dazzling	12	920
terms	12	921
bugles	12	922
verse	12	923
general	12	924
outside	12	925
crops	12	926
remains	12	927
closed	12	928
suddenly	12	929
majestic	12	930
safe	12	931
carrying	12	932
mechanics	12	933
hospital	12	934
Saw	12	935
angry	12	936
sunset	12	937
defeat	12	938
branches	12	939
orb	12	940
shade	12	941
blows	11	942
train	11	943
lift	11	944
stones	11	945
faint	11	946
sorrow	11	947
drum	11	948
faithful	11	949
drooping	11	950
fires	11	951
flying	11	952
hast	11	953
beard	11	954
products	11	955
short	11	956
rolling	11	957
burning	11	958
smell	11	959
makes	11	960
history	11	961
refuse	11	962
bells	11	963
leaf	11	964
vision	11	965
continue	11	966
perpetual	11	967
break	11	968
crowded	11	969
dance	11	970
satisfied	11	971
guess	11	972
hell	11	973
ascend	11	974
teach	11	975
dawn	11	976
business	11	977
resume	11	978
stone	11	979
daring	11	980
emerge	11	981
sleepers	11	982
pennants	11	983
blowing	11	984
themes	11	985
spheres	11	986
setting	11	987
plant	11	988
fear	11	989
million	11	990
supper	11	991
mid	11	992
rush	11	993
hang	11	994
oak	11	995
Joy	11	996
church	11	997
solitary	11	998
General	11	999
wings	11	1000
storms	11	1001
pouring	11	1002
filling	11	1003
joints	11	1004
desperate	11	1005
mistress	11	1006
absorb	11	1007
signs	11	1008
twilight	11	1009
afterward	11	1010
Shapes	11	1011
happiness	11	1012
anchor	11	1013
mad	11	1014
Strong	11	1015
glad	11	1016
arise	11	1017
bride	11	1018
soothing	11	1019
drift	11	1020
machines	11	1021
seated	11	1022
memory	11	1023
dare	11	1024
indifferent	11	1025
prairie	11	1026
base	11	1027
theme	11	1028
wafted	11	1029
table	11	1030
lit	11	1031
taken	11	1032
barns	11	1033
thousands	11	1034
restless	11	1035
shine	11	1036
Forth	11	1037
drink	11	1038
slaves	11	1039
myriad	11	1040
Unfolded	11	1041
diverse	11	1042
floor	11	1043
steadily	11	1044
apple	11	1045
lessons	11	1046
straight	10	1047
maker	10	1048
arriving	10	1049
native	10	1050
roses	10	1051
whispering	10	1052
deaths	10	1053
feeding	10	1054
Years	10	1055
noble	10	1056
exquisite	10	1057
path	10	1058
wandering	10	1059
afternoon	10	1060
smile	10	1061
organ	10	1062
bones	10	1063
sought	10	1064
legs	10	1065
innocent	10	1066
box	10	1067
row	10	1068
sweat	10	1069
stretching	10	1070
phantom	10	1071
stores	10	1072
weeds	10	1073
rose	10	1074
absorbing	10	1075
seasons	10	1076
group	10	1077
foam	10	1078
lonesome	10	1079
breathing	10	1080
window	10	1081
playing	10	1082
rises	10	1083
busy	10	1084
cloth	10	1085
led	10	1086
nest	10	1087
plays	10	1088
mist	10	1089
bard	10	1090
stretch	10	1091
beating	10	1092
European	10	1093
takes	10	1094
dusk	10	1095
carry	10	1096
justified	10	1097
voyages	10	1098
shadowy	10	1099
warning	10	1100
note	10	1101
belong	10	1102
weave	10	1103
beams	10	1104
marches	10	1105
bearing	10	1106
Texas	10	1107
beginning	10	1108
flat	10	1109
State	10	1110
talking	10	1111
afar	10	1112
Haply	10	1113
bend	10	1114
skies	10	1115
yard	10	1116
tight	10	1117
banks	10	1118
meanings	10	1119
needed	10	1120
laid	10	1121
reality	10	1122
utter	10	1123
crossing	10	1124
peaks	10	1125
balls	10	1126
People	10	1127
Brooklyn	10	1128
folded	10	1129
dearest	10	1130
special	10	1131
haughty	10	1132
awhile	10	1133
raise	10	1134
Missouri	10	1135
built	10	1136
Lands	10	1137
calls	10	1138
artillery	10	1139
accept	10	1140
current	10	1141
begin	10	1142
towering	10	1143
passion	10	1144
action	10	1145
continual	10	1146
second	10	1147
victorious	10	1148
ashes	10	1149
balance	10	1150
Allons	10	1151
infinite	10	1152
Pacific	10	1153
immense	10	1154
aloft	10	1155
descend	10	1156
tops	10	1157
Eastern	10	1158
antique	10	1159
sane	10	1160
merge	10	1161
utterly	10	1162
ideal	10	1163
carried	10	1164
blanket	9	1165
realities	9	1166
gazing	9	1167
Heard	9	1168
War	9	1169
food	9	1170
judges	9	1171
ere	9	1172
vital	9	1173
Kanada	9	1174
Columbia	9	1175
Joys	9	1176
sister	9	1177
convulsive	9	1178
Thought	9	1179
print	9	1180
forest	9	1181
Walt	9	1182
boundless	9	1183
appearing	9	1184
permanent	9	1185
China	9	1186
whirling	9	1187
landscape	9	1188
hearing	9	1189
countenance	9	1190
hardly	9	1191
scream	9	1192
debris	9	1193
sitting	9	1194
senses	9	1195
bent	9	1196
stronger	9	1197
ways	9	1198
worn	9	1199
shells	9	1200
oceans	9	1201
menacing	9	1202
drest	9	1203
calling	9	1204
sugar	9	1205
thread	9	1206
phantoms	9	1207
write	9	1208
gifts	9	1209
risen	9	1210
eternity	9	1211
dissatisfied	9	1212
aspirations	9	1213
stalwart	9	1214
noon	9	1215
dropping	9	1216
grace	9	1217
manners	9	1218
inside	9	1219
pulses	9	1220
Freedom	9	1221
store	9	1222
cape	9	1223
incessant	9	1224
worthy	9	1225
dances	9	1226
quiet	9	1227
Songs	9	1228
masters	9	1229
vines	9	1230
dumb	9	1231
Ship	9	1232
launch	9	1233
Dead	9	1234
manhood	9	1235
stay	9	1236
triumphant	9	1237
lacking	9	1238
folds	9	1239
stock	9	1240
alike	9	1241
preparing	9	1242
Passing	9	1243
horse	9	1244
inventions	9	1245
steamers	9	1246
Liberty	9	1247
Silent	9	1248
teacher	9	1249
gun	9	1250
aye	9	1251
trailing	9	1252
curiously	9	1253
sufficient	9	1254
promise	9	1255
anguish	9	1256
reminiscence	9	1257
greatness	9	1258
purple	9	1259
gates	9	1260
harvest	9	1261
ease	9	1262
Away	9	1263
kept	9	1264
fine	9	1265
daily	9	1266
throes	9	1267
change	9	1268
rows	9	1269
questions	9	1270
goods	9	1271
pines	9	1272
darting	9	1273
riches	9	1274
drinking	9	1275
range	9	1276
mines	9	1277
meat	9	1278
suffering	9	1279
babes	9	1280
nearer	9	1281
gigantic	9	1282
awake	9	1283
swarming	9	1284
knees	9	1285
plenteous	9	1286
freshness	9	1287
burst	9	1288
names	9	1289
apples	9	1290
wheel	9	1291
ebb	9	1292
underneath	9	1293
foreign	9	1294
trade	9	1295
Tennessee	9	1296
sweep	9	1297
eddies	8	1298
individuals	8	1299
delight	8	1300
melt	8	1301
charged	8	1302
indicates	8	1303
plainly	8	1304
religions	8	1305
Muse	8	1306
twain	8	1307
bye	8	1308
wave	8	1309
shops	8	1310
carol	8	1311
scheme	8	1312
secure	8	1313
ago	8	1314
depths	8	1315
fly	8	1316
haze	8	1317
pavement	8	1318
flood	8	1319
reason	8	1320
superior	8	1321
dread	8	1322
traveler	8	1323
rapid	8	1324
cover	8	1325
England	8	1326
opposite	8	1327
fro	8	1328
Soul	8	1329
western	8	1330
fail	8	1331
Greek	8	1332
dry	8	1333
numberless	8	1334
rooms	8	1335
sign	8	1336
rate	8	1337
Whitman	8	1338
haste	8	1339
hay	8	1340
waited	8	1341
universes	8	1342
finger	8	1343
measure	8	1344
desire	8	1345
showers	8	1346
hurry	8	1347
thunder	8	1348
hurried	8	1349
sinking	8	1350
untold	8	1351
libraries	8	1352
struggle	8	1353
dust	8	1354
husky	8	1355
robust	8	1356
trust	8	1357
sundown	8	1358
salt	8	1359
